period_end,section,code,ticker,quantity,market_price,value,weight,asOf
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.36,PVS,680800,38100,25938480000,0.00405158505880945,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.37,SHB,579346,13550,7850138300,0.00122618993271263,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.38,STB,3345400,73800,246890520000,0.0385642467096644,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.39,TAL,2206420,26550,58580451000,0.00915025398596675,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.40,TCB,7390600,33500,247585100000,0.0386727399579252,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.41,TCH,1007200,14550,14654760000,0.00228907039488969,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.42,TCX,179000,44400,7947600000,0.00124141342952224,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.43,TVN,1625700,11600,18858120000,0.00294563433282272,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.44,VCB,939400,62200,58430680000,0.00912685978762348,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.45,VHM,2296500,151800,348608700000,0.05445260478991,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.46,VIC,2972300,220000,653906000000,0.102139978112281,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.47,VIX,3410600,16900,57639140000,0.00900322140798635,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.48,VND,7230800,17700,127985160000,0.0199912547691822,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.49,VPB,9175150,27000,247729050000,0.0386952249173066,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.50,VPX,4832100,28600,138198060000,0.0215865075768685,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.51,VRE,1498000,28500,42693000000,0.00666863751907404,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2247,,,,5599731402300,0.874676853960014,2026-07-02
2026-06-30,"SHARES UNLISTED, UNREGISTERED FOR TRADING, UNLISTED FUND CERTIFICATES",2248,,,,,,2026-07-02
2026-06-30,"SHARES UNLISTED, UNREGISTERED FOR TRADING, UNLISTED FUND CERTIFICATES",2248.1,Dien May Xanh Investment Joint Stock Co.,1090000,80000,87200000000,0.013620621452305,2026-07-02
2026-06-30,"SHARES UNLISTED, UNREGISTERED FOR TRADING, UNLISTED FUND CERTIFICATES",2249,,,,87200000000,0.013620621452305,2026-07-02
2026-06-30,BONDS,2251,,,,,,2026-07-02
2026-06-30,BONDS,2251.1,Listed bonds,,,0,0,2026-07-02
2026-06-30,BONDS,2251.2,"Unlisted Bonds, Private placement bonds",,,0,0,2026-07-02
2026-06-30,BONDS,2252,,,,0,0,2026-07-02
2026-06-30,OTHER SECURITIES,2253,,,,,,2026-07-02
2026-06-30,OTHER SECURITIES,2253.1,Investment - Rights,,,0,0,2026-07-02
2026-06-30,OTHER SECURITIES,2253.2,Index future contracts,,,0,0,2026-07-02
2026-06-30,OTHER SECURITIES,2254,,,,0,0,2026-07-02
2026-06-30,OTHER SECURITIES,2255,,,,5686931402300,0.888297475412319,2026-07-02
2026-06-30,OTHER ASSETS,2256,,,,,,2026-07-02
2026-06-30,OTHER ASSETS,2256.1,Dividend receivables,,,17416920000,0.00272051919937018,2026-07-02
2026-06-30,OTHER ASSETS,2256.2,Coupon receivables,,,0,0,2026-07-02
2026-06-30,OTHER ASSETS,2256.3,Interest receivables from bank deposits and Money market instruments,,,0,0,2026-07-02
2026-06-30,OTHER ASSETS,2256.4,Outstanding Settlement of sales transactions,,,264934099850,0.0413826500443122,2026-07-02
2026-06-30,OTHER ASSETS,2256.5,Receivable from AP/Investors on securities on hold of buying,,,0,0,2026-07-02
2026-06-30,OTHER ASSETS,2256.6,Other receivables,,,52516000000,0.00820298802969321,2026-07-02
2026-06-30,OTHER ASSETS,2256.7,Other assets,,,0,0,2026-07-02
2026-06-30,OTHER ASSETS,2257,,,,334867019850,0.0523061572733755,2026-07-02
2026-06-30,CASH,2258,,,,,,2026-07-02
2026-06-30,CASH,2259,"Cash, Cash Equivalent",,,380258951322,0.0593963673143054,2026-07-02
2026-06-30,CASH,2259.1,Cash at Bank,,,380258951322,0.0593963673143054,2026-07-02
2026-06-30,CASH,2259.2,Cash Equivalents,,,0,0,2026-07-02
2026-06-30,CASH,2260,Deposits with term over three (03) months,,,0,0,2026-07-02
2026-06-30,CASH,2261.1,Money market instruments,,,0,0,2026-07-02
2026-06-30,CASH,2262,,,,380258951322,0.0593963673143054,2026-07-02
2026-06-30,Total value of portfolio,2263,,,,6402057373472,1,2026-07-02
2026-06-30,,2264,,,,,,2026-07-02
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246,,,,,,2026-08-03
2026-07-31,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.1,ABB,4205229,17400,73170984600,0.0122529877025465,2026-08-03
