kind,ex_date,record_date,pay_date,last_date,settlement_date,amount_per_share,tax_rate,shares_per_share,rights_per_share,subscription_price,choice,funding,source
stock_dividend,2008-05-31,2008-05-31,2008-05-31,,,,,0.1,,,,,VCI event 6708f3f20ec61045ab7ff4d7
cash_dividend,2009-07-09,2009-07-09,2009-08-17,,,500,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb6d8
stock_dividend,2010-05-10,2010-05-10,2010-05-10,,,,,0.5,,,,,VCI event 6708f3f10ec61045ab7ff205
cash_dividend,2010-06-30,2010-06-30,2010-07-05,,,1000,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb6d9
cash_dividend,2011-01-15,2011-01-15,2011-01-17,,,500,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb6d7
stock_dividend,2011-05-03,2011-05-03,2011-05-03,,,,,1,,,,,VCI event 6708f3f10ec61045ab7ff203
cash_dividend,2011-08-15,2011-08-15,2011-08-16,,,1000,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb6d6
cash_dividend,2011-12-20,2011-12-20,2011-12-25,,,500,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb6d5
cash_dividend,2012-04-14,2012-04-14,2012-04-17,,,1500,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb6d4
stock_dividend,2012-04-20,2012-04-30,2012-04-30,,,,,1,,,,,VCI event 6708f3f10ec61045ab7ff201
cash_dividend,2012-06-25,2012-06-25,2012-06-28,,,1000,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb6d3
cash_dividend,2012-12-18,2012-12-18,2012-12-21,,,1000,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb6d2
cash_dividend,2013-04-15,2013-04-15,2013-04-18,,,1000,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb6d1
stock_dividend,2013-04-20,2013-04-20,2013-04-20,,,,,0.5,,,,,VCI event 6708f3f10ec61045ab7ff1ff
cash_dividend,2013-07-11,2013-07-11,2013-07-15,,,1000,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb6d0
cash_dividend,2013-12-20,2013-12-20,2013-12-25,,,1000,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb6cf
cash_dividend,2014-04-21,2014-04-21,2014-04-23,,,1000,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb6ce
stock_dividend,2014-05-15,2014-05-15,2014-05-15,,,,,0.2,,,,,VCI event 6708f3f10ec61045ab7ff1fd
cash_dividend,2014-06-30,2014-06-30,2014-07-07,,,1000,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb6cd
cash_dividend,2014-12-18,2014-12-22,2015-01-05,,,1000,0.05,,,,,,VCI event 6708f3df0ec61045ab7fb351
cash_dividend,2015-04-16,2015-04-20,2015-05-11,,,1000,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb421
stock_dividend,2015-04-23,2015-04-27,2015-04-27,,,,,0.2,,,,,VCI event 6708f3f10ec61045ab7ff1fc
cash_dividend,2015-07-16,2015-07-20,2015-08-10,,,1000,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb578
cash_dividend,2015-12-17,2015-12-21,2016-01-04,,,1000,0.05,,,,,,VCI event 6708f3e00ec61045ab7fb688
cash_dividend,2016-04-28,2016-04-29,2016-05-30,,,1000,0.05,,,,,,VCI event 6708f3e10ec61045ab7fb885
stock_dividend,2016-05-19,2016-05-20,2016-05-19,,,,,0.3,,,,,VCI event 6708f3f10ec61045ab7ff3ac
cash_dividend,2016-08-15,2016-08-16,2016-09-16,,,500,0.05,,,,,,VCI event 6708f3e10ec61045ab7fba56
cash_dividend,2017-01-05,2017-01-06,2017-01-20,,,500,0.05,,,,,,VCI event 6708f3e20ec61045ab7fbc17
cash_dividend,2017-04-13,2017-04-14,2017-04-28,,,1000,0.05,,,,,,VCI event 6708f3e20ec61045ab7fbd21
stock_dividend,2017-05-03,2017-05-04,2017-06-26,,,,,0.3,,,,,VCI event 6708f3f20ec61045ab7ff61e
cash_dividend,2017-07-28,2017-07-31,2017-08-16,,,500,0.05,,,,,,VCI event 6708f3e30ec61045ab7fbf7d
cash_dividend,2017-12-19,2017-12-20,2018-01-05,,,500,0.05,,,,,,VCI event 6708f3e30ec61045ab7fc131
cash_dividend,2018-04-19,2018-04-20,2018-05-07,,,500,0.05,,,,,,VCI event 6708f3e30ec61045ab7fc26f
stock_dividend,2018-05-09,2018-05-10,2018-06-13,,,,,0.2,,,,,VCI event 6708f3f30ec61045ab7ffa10
cash_dividend,2018-07-27,2018-07-30,2018-08-10,,,500,0.05,,,,,,VCI event 6708f3e40ec61045ab7fc4df
cash_dividend,2018-12-27,2018-12-28,2019-01-14,,,500,0.05,,,,,,VCI event 6708f3e50ec61045ab7fc6b3
cash_dividend,2019-04-18,2019-04-19,2019-05-09,,,500,0.05,,,,,,VCI event 6708f3e50ec61045ab7fc7ab
stock_dividend,2019-05-09,2019-05-10,2019-06-18,,,,,0.2,,,,,VCI event 6708f3f40ec61045ab7ffcf9
cash_dividend,2019-08-30,2019-09-03,2019-09-16,,,500,0.05,,,,,,VCI event 6708f3e50ec61045ab7fca39
cash_dividend,2020-02-20,2020-02-21,2020-03-05,,,1000,0.05,,,,,,VCI event 6708f3e60ec61045ab7fcbea
cash_dividend,2020-04-16,2020-04-17,2020-05-08,,,1500,0.05,,,,,,VCI event 6708f3e60ec61045ab7fcc59
cash_dividend,2020-09-04,2020-09-07,2020-09-18,,,500,0.05,,,,,,VCI event 6708f3e70ec61045ab7fcecc
cash_dividend,2021-02-26,2021-03-01,2021-03-11,,,500,0.05,,,,,,VCI event 6708f3e70ec61045ab7fd0ac
cash_dividend,2021-04-15,2021-04-16,2021-04-29,,,1500,0.05,,,,,,VCI event 6708f3e70ec61045ab7fd106
cash_dividend,2021-08-18,2021-08-19,2021-09-01,,,500,0.05,,,,,,VCI event 6708f3e80ec61045ab7fd318
cash_dividend,2022-01-19,2022-01-20,2022-01-28,,,500,0.05,,,,,,VCI event 6708f3e80ec61045ab7fd4e5
cash_dividend,2022-04-21,2022-04-22,2022-05-06,,,2000,0.05,,,,,,VCI event 6708f3e90ec61045ab7fd550
cash_dividend,2022-08-25,2022-08-26,2022-09-09,,,500,0.05,,,,,,VCI event 6708f3e90ec61045ab7fd767
cash_dividend,2023-01-04,2023-01-05,2023-01-16,,,1000,0.05,,,,,,VCI event 6708f3ea0ec61045ab7fd8e5
cash_dividend,2023-04-17,2023-04-18,2023-04-27,,,1500,0.05,,,,,,VCI event 6708f3ea0ec61045ab7fd962
cash_dividend,2023-08-23,2023-08-24,2023-09-07,,,1000,0.05,,,,,,VCI event 6708f3ea0ec61045ab7fdb7a
cash_dividend,2024-01-10,2024-01-11,2024-01-24,,,1000,0.05,,,,,,VCI event 6708f3eb0ec61045ab7fdcf6
cash_dividend,2024-04-16,2024-04-17,2024-04-26,,,2000,0.05,,,,,,VCI event 6708f3eb0ec61045ab7fdd68
cash_dividend,2024-08-28,2024-08-29,2024-09-11,,,1000,0.05,,,,,,VCI event 6708f3eb0ec61045ab7fdf9e
cash_dividend,2025-01-09,2025-01-10,2025-01-21,,,1000,0.05,,,,,,VCI event 676c9f1416bfba1b8aa37a92
cash_dividend,2025-04-14,2025-04-15,2025-04-25,,,2000,0.05,,,,,,VCI event 67ec83e090c07f62ae2ba419
cash_dividend,2025-08-13,2025-08-14,2025-08-26,,,1000,0.05,,,,,,VCI event 688d5adaa6a4d755dbb09484
cash_dividend,2026-01-13,2026-01-14,2026-01-23,,,1000,0.05,,,,,,VCI event 69546ce0ff978e3bae146cc9
cash_dividend,2026-04-16,2026-04-17,2026-04-28,,,2000,0.05,,,,,,VCI event 69d5a04a714770f525e032a8
cash_dividend,2026-08-18,2026-08-19,2026-08-27,,,1000,0.05,,,,,,VCI event 6a7a6be37f344694df26b838
