kind,ex_date,record_date,ratio,subscription_price,source
stock_dividend,2026-08-11,2026-08-12,0.15,,VCI event 69e6c30a9a7ad2360023b0be
rights_issue,2026-08-11,2026-08-12,0.1,10000,VCI event 69e6c30a9a7ad2360023b0bd; price assumption
