kind,ex_date,record_date,pay_date,last_date,settlement_date,amount_per_share,tax_rate,shares_per_share,rights_per_share,subscription_price,choice,funding,source
cash_dividend,2023-08-03,2023-08-04,2023-10-05,,,950,0.05,,,,,,VCI event 6708f3ea0ec61045ab7fdb17
cash_dividend,2023-08-03,2023-08-04,2023-10-05,,,1500,0.05,,,,,,VCI event 6708f3ea0ec61045ab7fdb18
cash_dividend,2023-12-27,2023-12-28,2024-02-28,,,500,0.05,,,,,,VCI event 6708f3eb0ec61045ab7fdcd5
cash_dividend,2024-03-15,2024-03-18,2024-04-26,,,900,0.05,,,,,,VCI event 6708f3eb0ec61045ab7fdcd6
cash_dividend,2024-09-24,2024-09-25,2024-10-24,,,950,0.05,,,,,,VCI event 6708f3eb0ec61045ab7fdfbb
cash_dividend,2024-09-24,2024-09-25,2024-10-24,,,1500,0.05,,,,,,VCI event 6708f3eb0ec61045ab7fdfbc
cash_dividend,2024-12-26,2024-12-27,2025-02-28,,,500,0.05,,,,,,VCI event 6753922716bfba1b8a836bbe
cash_dividend,2025-05-14,2025-05-15,2025-05-23,,,2000,0.05,,,,,,VCI event 6816b3ec86e9541d8aaffd33
cash_dividend,2025-10-16,2025-10-17,2025-10-24,,,350,0.05,,,,,,VCI event 68ddc69982ba4d1dc7561f66
cash_dividend,2025-10-16,2025-10-17,2025-10-24,,,2500,0.05,,,,,,VCI event 68ddc69982ba4d1dc7561f67
cash_dividend,2026-06-26,2026-06-29,2026-07-17,,,1850,0.05,,,,,,VCI event 6a333a0ae56b40f0537015e0
