kind,ex_date,record_date,pay_date,last_date,settlement_date,amount_per_share,tax_rate,shares_per_share,rights_per_share,subscription_price,choice,funding,source
cash_dividend,2007-03-06,2007-03-08,2007-03-22,,,600,0.05,,,,,,VCI event 6708f3da0ec61045ab7fa04e
stock_dividend,2007-05-21,2007-05-23,2007-06-19,,,,,0.5,,,,,VCI event 6708f3ec0ec61045ab7fe0af
cash_dividend,2007-07-24,2007-07-26,2007-08-13,,,600,0.05,,,,,,VCI event 6708f3da0ec61045ab7fa04d
cash_dividend,2007-10-08,2007-10-10,2007-10-25,,,2000,0.05,,,,,,VCI event 6708f3da0ec61045ab7fa04c
cash_dividend,2008-04-21,2008-04-23,2008-05-15,,,1000,0.05,,,,,,VCI event 6708f3da0ec61045ab7fa04b
cash_dividend,2008-07-28,2008-07-30,2008-08-22,,,1000,0.05,,,,,,VCI event 6708f3da0ec61045ab7fa04a
cash_dividend,2008-11-07,2009-11-11,2008-12-05,,,1600,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa27b
stock_dividend,2008-11-07,2008-11-11,2008-12-26,,,,,0.5,,,,,VCI event 6708f3ec0ec61045ab7fe28f
cash_dividend,2009-06-04,2009-06-08,2009-06-26,,,1000,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa36b
cash_dividend,2009-12-14,2009-12-16,2009-12-31,,,1500,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa46f
stock_dividend,2010-03-29,2010-03-29,2010-03-29,,,,,0.25,,,,,VCI event 6708f3ed0ec61045ab7fe54b
stock_dividend,2010-05-11,2010-05-13,2010-07-12,,,,,0.3333,,,,,VCI event 6708f3ed0ec61045ab7fe54a
cash_dividend,2010-08-11,2010-08-13,2010-08-31,,,1000,0.05,,,,,,VCI event 6708f3dc0ec61045ab7fa63e
cash_dividend,2011-05-05,2011-05-09,2011-05-26,,,500,0.05,,,,,,VCI event 6708f3dc0ec61045ab7fa85b
cash_dividend,2011-09-27,2011-09-29,2011-10-19,,,1000,0.05,,,,,,VCI event 6708f3dd0ec61045ab7fa9e4
cash_dividend,2012-05-15,2012-05-17,2012-06-01,,,1000,0.05,,,,,,VCI event 6708f3dd0ec61045ab7fabab
stock_dividend,2012-05-15,2012-05-17,2012-07-19,,,,,0.25,,,,,VCI event 6708f3ef0ec61045ab7febb2
cash_dividend,2012-08-27,2012-08-29,2012-09-17,,,1000,0.05,,,,,,VCI event 6708f3dd0ec61045ab7facb8
cash_dividend,2012-12-05,2012-12-07,2012-12-28,,,1000,0.05,,,,,,VCI event 6708f3de0ec61045ab7fad31
cash_dividend,2013-08-15,2013-08-19,2013-08-30,,,1500,0.05,,,,,,VCI event 6708f3de0ec61045ab7faf4e
cash_dividend,2014-05-07,2014-05-09,2014-05-22,,,1500,0.05,,,,,,VCI event 6708f3df0ec61045ab7fb174
