kind,ex_date,record_date,pay_date,last_date,settlement_date,amount_per_share,tax_rate,shares_per_share,rights_per_share,subscription_price,choice,funding,source
cash_dividend,2007-05-16,2007-05-18,2007-06-08,,,500,0.05,,,,,,VCI event 6708f3da0ec61045ab7fa0ea
stock_dividend,2007-05-16,2007-05-18,2007-06-22,,,,,0.5,,,,,VCI event 6708f3ec0ec61045ab7fe21e
cash_dividend,2007-07-13,2007-07-17,2007-08-10,,,1000,0.05,,,,,,VCI event 6708f3da0ec61045ab7fa0e9
cash_dividend,2008-05-14,2008-05-16,2008-06-06,,,2000,0.05,,,,,,VCI event 6708f3da0ec61045ab7fa0e8
cash_dividend,2008-11-12,2008-11-14,2008-12-15,,,1200,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa2aa
cash_dividend,2009-05-08,2009-05-12,2009-05-25,,,1800,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa339
cash_dividend,2009-05-08,2009-05-12,2009-05-25,,,1200,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa33a
cash_dividend,2009-11-30,2009-12-02,2009-12-28,,,1800,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa455
cash_dividend,2010-09-07,2010-09-09,2010-10-06,,,2000,0.05,,,,,,VCI event 6708f3dc0ec61045ab7fa67b
stock_dividend,2011-01-26,2011-01-28,2011-04-29,,,,,1,,,,,VCI event 6708f3ee0ec61045ab7fe8ac
cash_dividend,2011-06-10,2011-06-14,2011-07-01,,,1000,0.05,,,,,,VCI event 6708f3dd0ec61045ab7fa91a
cash_dividend,2011-12-20,2011-12-22,2012-01-19,,,1000,0.05,,,,,,VCI event 6708f3dd0ec61045ab7faa72
cash_dividend,2012-09-05,2012-09-07,2012-09-27,,,1000,0.05,,,,,,VCI event 6708f3de0ec61045ab7faccc
cash_dividend,2012-12-14,2012-12-18,2012-12-28,,,1000,0.05,,,,,,VCI event 6708f3de0ec61045ab7fad74
cash_dividend,2013-06-07,2013-06-11,2013-07-04,,,2000,0.05,,,,,,VCI event 6708f3de0ec61045ab7faee2
cash_dividend,2013-12-05,2013-12-09,2013-12-26,,,1500,0.05,,,,,,VCI event 6708f3de0ec61045ab7fb082
cash_dividend,2014-05-28,2014-05-30,2014-06-20,,,1500,0.05,,,,,,VCI event 6708f3df0ec61045ab7fb1fd
stock_dividend,2014-05-28,2014-05-30,2014-07-22,,,,,0.3,,,,,VCI event 6708f3f00ec61045ab7fedf6
