date,stock_code,industry,weight_pct,type_asset
2026-07-17,MBB,Ngân hàng,11.5,STOCK
2026-07-17,HCM,Chứng khoán,6.6,STOCK
2026-07-17,FPT,Công nghệ và thông tin,5.4,STOCK
2026-07-17,STB,Ngân hàng,5.0,STOCK
2026-07-17,TCB,Ngân hàng,4.4,STOCK
2026-07-17,CTD,Xây dựng,4.4,STOCK
2026-07-17,HPG,Vật liệu xây dựng,4.4,STOCK
2026-07-17,MWG,Bán lẻ,4.1,STOCK
2026-07-17,MSN,Thực phẩm - Đồ uống,4.0,STOCK
2026-07-17,SSI,Chứng khoán,3.9,STOCK
