date,stock_code,industry,weight_pct,type_asset
2026-08-07,DRI,Sản phẩm cao su,4.67,STOCK
2026-08-07,TLG,Sản xuất Phụ trợ,4.49,STOCK
2026-08-07,VIP,Vận tải - Kho bãi,4.3,STOCK
2026-08-07,FMC,Chế biến thủy sản,4.2,STOCK
2026-08-07,FPT,Công nghệ và thông tin,4.12,STOCK
2026-08-07,DPR,Sản xuất Nhựa - Hóa chất,2.21,STOCK
2026-08-07,MWG,Bán lẻ,2.14,STOCK
2026-08-07,BWE,Tiện ích,1.33,STOCK
2026-08-07,SIP,Tiện ích,1.07,STOCK
2026-08-07,HPA,Thực phẩm - Đồ uống,0.02,STOCK
