date,stock_code,industry,weight_pct,type_asset
2026-08-07,VHM,Bất động sản,4.9,STOCK
2026-08-07,VIC,Bất động sản,4.08,STOCK
2026-08-07,VPB,Ngân hàng,3.43,STOCK
2026-08-07,HPG,Vật liệu xây dựng,3.27,STOCK
2026-08-07,MBB,Ngân hàng,3.16,STOCK
2026-08-07,TCB,Ngân hàng,2.95,STOCK
2026-08-07,HDB,Ngân hàng,2.93,STOCK
2026-08-07,STB,Ngân hàng,2.85,STOCK
2026-08-07,CTG,Ngân hàng,2.75,STOCK
