date,stock_code,industry,weight_pct,type_asset
2026-08-07,EIB,Ngân hàng,17.6,STOCK
2026-08-07,EVF,Tài chính khác,17.23,STOCK
2026-08-07,PIV,Bất động sản,3.83,STOCK
2026-08-07,VCB,Ngân hàng,0.95,STOCK
2026-08-07,CTG,Ngân hàng,0.83,STOCK
2026-08-07,VNM,Thực phẩm - Đồ uống,0.68,STOCK
2026-08-07,FPT,Công nghệ và thông tin,0.66,STOCK
2026-08-07,HPG,Vật liệu xây dựng,0.66,STOCK
2026-08-07,BID,Ngân hàng,0.64,STOCK
2026-08-07,MSN,Thực phẩm - Đồ uống,0.58,STOCK
