date,industry,weight_pct
2026-08-07,Bất động sản,31.41
2026-08-07,Ngân hàng,22.33
2026-08-07,Vận tải - Kho bãi,3.5
2026-08-07,Vật liệu xây dựng,3.27
2026-08-07,Bán lẻ,2.74
2026-08-07,Thực phẩm - Đồ uống,2.72
2026-08-07,Chứng khoán,2.01
2026-08-07,Xây dựng,1.99
2026-08-07,Sản xuất Nhựa - Hóa chất,1.81
2026-08-07,Thiết bị điện,1.49
